Frequency (Hz),|Z| (Ohm)
9999.990463,4030.384962583805
6309.509277,5299.764062627542
3980.994225,6768.9207903978195
2511.85894,8446.668870096308
1584.917307,10360.181407707814
999.9871254,12769.320113612126
630.9598684,15829.115294908226
398.106873,19944.554935027045
251.1888742,25505.784820394587
158.4887505,33027.45440531507
99.99983013,43165.75414542776
63.09524179,56862.923129050294
39.81031477,74253.23339307102
25.1182355,96801.11956104849
15.84831625,125021.31034716984
9.999843314,159292.74696776646
6.309594028,198959.2678078141
3.981054761,243364.29097380125
2.511893399,290268.027264092
1.584936399,341683.7545945796
1.000007614,390504.66470818064
0.630956492,439971.6928727334
0.398104021,490643.8242721708
0.251187885,542481.1988668065
0.158488547,598809.0110901848
0.099998942,659752.6821574805
